2017/06/14 13:41:05 [error] 4188#7820: *30 CreateFile() "C:/Users/pp/Desktop/nginx/acts_project/html/acts/js/smoothcroll.js" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /acts/js/smoothcroll.js HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/acts/admin_page.html"
2017/06/14 13:41:06 [error] 4188#7820: *31 CreateFile() "C:/Users/pp/Desktop/nginx/acts_project/html/acts/js/smoothcroll.js" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /acts/js/smoothcroll.js HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/acts/admin_page.html"
2017/06/14 13:41:06 [error] 4188#7820: *30 CreateFile() "C:/Users/pp/Desktop/nginx/acts_project/html/acts/css/fonts/CronusItalic.otf" failed (3: The system cannot find the path specified), client: 127.0.0.1, server: localhost, request: "GET /acts/css/fonts/CronusItalic.otf HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/acts/css/users.css"
2017/06/14 13:43:50 [error] 4188#7820: *35 CreateFile() "C:/Users/pp/Desktop/nginx/acts_project/html/acts/css/fonts/CronusItalic.otf" failed (3: The system cannot find the path specified), client: 127.0.0.1, server: localhost, request: "GET /acts/css/fonts/CronusItalic.otf HTTP/1.1", host: "127.0.0.1"
2017/06/14 13:44:36 [error] 4188#7820: *36 CreateFile() "C:/Users/pp/Desktop/nginx/acts_project/html/acts/js/smoothcroll.js" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /acts/js/smoothcroll.js HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/acts/admin_page.html"
2017/06/14 13:44:36 [error] 4188#7820: *36 CreateFile() "C:/Users/pp/Desktop/nginx/acts_project/html/acts/css/fonts/CronusItalic.otf" failed (3: The system cannot find the path specified), client: 127.0.0.1, server: localhost, request: "GET /acts/css/fonts/CronusItalic.otf HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/acts/css/users.css"
2017/06/14 13:44:36 [error] 4188#7820: *36 CreateFile() "C:/Users/pp/Desktop/nginx/acts_project/html/acts/js/smoothcroll.js" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /acts/js/smoothcroll.js HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/acts/admin_page.html"
2017/06/14 13:44:52 [error] 4188#7820: *36 CreateFile() "C:/Users/pp/Desktop/nginx/acts_project/html/acts/js/smoothcroll.js" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /acts/js/smoothcroll.js HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/acts/admin_page.html"
2017/06/14 13:44:52 [error] 4188#7820: *36 CreateFile() "C:/Users/pp/Desktop/nginx/acts_project/html/acts/js/smoothcroll.js" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /acts/js/smoothcroll.js HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/acts/admin_page.html"
2017/06/14 13:44:52 [error] 4188#7820: *36 CreateFile() "C:/Users/pp/Desktop/nginx/acts_project/html/acts/css/fonts/CronusItalic.otf" failed (3: The system cannot find the path specified), client: 127.0.0.1, server: localhost, request: "GET /acts/css/fonts/CronusItalic.otf HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/acts/css/users.css"
2017/06/14 13:44:54 [error] 4188#7820: *36 CreateFile() "C:/Users/pp/Desktop/nginx/acts_project/html/acts/js/smoothcroll.js" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /acts/js/smoothcroll.js HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/acts/admin_page.html"
2017/06/14 13:44:54 [error] 4188#7820: *36 CreateFile() "C:/Users/pp/Desktop/nginx/acts_project/html/acts/js/smoothcroll.js" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /acts/js/smoothcroll.js HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/acts/admin_page.html"
2017/06/14 13:44:54 [error] 4188#7820: *36 CreateFile() "C:/Users/pp/Desktop/nginx/acts_project/html/acts/css/fonts/CronusItalic.otf" failed (3: The system cannot find the path specified), client: 127.0.0.1, server: localhost, request: "GET /acts/css/fonts/CronusItalic.otf HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/acts/css/users.css"
2017/06/14 13:45:04 [error] 4188#7820: *36 CreateFile() "C:/Users/pp/Desktop/nginx/acts_project/html/acts/js/smoothcroll.js" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /acts/js/smoothcroll.js HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/acts/admin_page.html"
2017/06/14 13:45:04 [error] 4188#7820: *36 CreateFile() "C:/Users/pp/Desktop/nginx/acts_project/html/acts/js/smoothcroll.js" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /acts/js/smoothcroll.js HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/acts/admin_page.html"
2017/06/14 13:45:04 [error] 4188#7820: *36 CreateFile() "C:/Users/pp/Desktop/nginx/acts_project/html/acts/css/fonts/CronusItalic.otf" failed (3: The system cannot find the path specified), client: 127.0.0.1, server: localhost, request: "GET /acts/css/fonts/CronusItalic.otf HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/acts/css/users.css"
2017/06/14 13:45:05 [error] 4188#7820: *36 CreateFile() "C:/Users/pp/Desktop/nginx/acts_project/html/acts/js/smoothcroll.js" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /acts/js/smoothcroll.js HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/acts/admin_page.html"
2017/06/14 13:45:05 [error] 4188#7820: *36 CreateFile() "C:/Users/pp/Desktop/nginx/acts_project/html/acts/js/smoothcroll.js" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /acts/js/smoothcroll.js HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/acts/admin_page.html"
2017/06/14 13:45:05 [error] 4188#7820: *36 CreateFile() "C:/Users/pp/Desktop/nginx/acts_project/html/acts/css/fonts/CronusItalic.otf" failed (3: The system cannot find the path specified), client: 127.0.0.1, server: localhost, request: "GET /acts/css/fonts/CronusItalic.otf HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/acts/css/users.css"
2017/06/14 13:45:20 [error] 4188#7820: *36 CreateFile() "C:/Users/pp/Desktop/nginx/acts_project/html/acts/js/smoothcroll.js" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /acts/js/smoothcroll.js HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/acts/admin_page.html"
2017/06/14 13:45:21 [error] 4188#7820: *36 CreateFile() "C:/Users/pp/Desktop/nginx/acts_project/html/acts/js/smoothcroll.js" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /acts/js/smoothcroll.js HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/acts/admin_page.html"
2017/06/14 13:45:21 [error] 4188#7820: *36 CreateFile() "C:/Users/pp/Desktop/nginx/acts_project/html/acts/css/fonts/CronusItalic.otf" failed (3: The system cannot find the path specified), client: 127.0.0.1, server: localhost, request: "GET /acts/css/fonts/CronusItalic.otf HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/acts/css/users.css"
2017/06/14 13:45:47 [error] 4188#7820: *36 CreateFile() "C:/Users/pp/Desktop/nginx/acts_project/html/acts/js/smoothcroll.js" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /acts/js/smoothcroll.js HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/acts/admin_page.html"
2017/06/14 13:45:47 [error] 4188#7820: *36 CreateFile() "C:/Users/pp/Desktop/nginx/acts_project/html/acts/js/smoothcroll.js" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /acts/js/smoothcroll.js HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/acts/admin_page.html"
2017/06/14 13:45:47 [error] 4188#7820: *36 CreateFile() "C:/Users/pp/Desktop/nginx/acts_project/html/acts/css/fonts/CronusItalic.otf" failed (3: The system cannot find the path specified), client: 127.0.0.1, server: localhost, request: "GET /acts/css/fonts/CronusItalic.otf HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/acts/css/users.css"
2017/06/14 13:45:48 [error] 4188#7820: *36 CreateFile() "C:/Users/pp/Desktop/nginx/acts_project/html/acts/js/smoothcroll.js" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /acts/js/smoothcroll.js HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/acts/admin_page.html"
2017/06/14 13:45:48 [error] 4188#7820: *36 CreateFile() "C:/Users/pp/Desktop/nginx/acts_project/html/acts/js/smoothcroll.js" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /acts/js/smoothcroll.js HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/acts/admin_page.html"
2017/06/14 13:45:48 [error] 4188#7820: *36 CreateFile() "C:/Users/pp/Desktop/nginx/acts_project/html/acts/css/fonts/CronusItalic.otf" failed (3: The system cannot find the path specified), client: 127.0.0.1, server: localhost, request: "GET /acts/css/fonts/CronusItalic.otf HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/acts/css/users.css"
2017/06/14 13:45:49 [error] 4188#7820: *36 CreateFile() "C:/Users/pp/Desktop/nginx/acts_project/html/acts/js/smoothcroll.js" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /acts/js/smoothcroll.js HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/acts/admin_page.html"
2017/06/14 13:45:49 [error] 4188#7820: *36 CreateFile() "C:/Users/pp/Desktop/nginx/acts_project/html/acts/js/smoothcroll.js" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /acts/js/smoothcroll.js HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/acts/admin_page.html"
2017/06/14 13:45:49 [error] 4188#7820: *36 CreateFile() "C:/Users/pp/Desktop/nginx/acts_project/html/acts/css/fonts/CronusItalic.otf" failed (3: The system cannot find the path specified), client: 127.0.0.1, server: localhost, request: "GET /acts/css/fonts/CronusItalic.otf HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/acts/css/users.css"
2017/06/14 13:45:56 [error] 4188#7820: *36 CreateFile() "C:/Users/pp/Desktop/nginx/acts_project/html/acts/js/smoothcroll.js" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /acts/js/smoothcroll.js HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/acts/admin_page.html"
2017/06/14 13:45:56 [error] 4188#7820: *36 CreateFile() "C:/Users/pp/Desktop/nginx/acts_project/html/acts/js/smoothcroll.js" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /acts/js/smoothcroll.js HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/acts/admin_page.html"
2017/06/14 13:45:56 [error] 4188#7820: *36 CreateFile() "C:/Users/pp/Desktop/nginx/acts_project/html/acts/css/fonts/CronusItalic.otf" failed (3: The system cannot find the path specified), client: 127.0.0.1, server: localhost, request: "GET /acts/css/fonts/CronusItalic.otf HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/acts/css/users.css"
2017/06/14 13:45:57 [error] 4188#7820: *36 CreateFile() "C:/Users/pp/Desktop/nginx/acts_project/html/acts/js/smoothcroll.js" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /acts/js/smoothcroll.js HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/acts/admin_page.html"
2017/06/14 13:45:57 [error] 4188#7820: *36 CreateFile() "C:/Users/pp/Desktop/nginx/acts_project/html/acts/js/smoothcroll.js" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /acts/js/smoothcroll.js HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/acts/admin_page.html"
2017/06/14 13:45:57 [error] 4188#7820: *36 CreateFile() "C:/Users/pp/Desktop/nginx/acts_project/html/acts/css/fonts/CronusItalic.otf" failed (3: The system cannot find the path specified), client: 127.0.0.1, server: localhost, request: "GET /acts/css/fonts/CronusItalic.otf HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/acts/css/users.css"
2017/06/14 13:46:18 [error] 4188#7820: *36 CreateFile() "C:/Users/pp/Desktop/nginx/acts_project/html/acts/js/smoothcroll.js" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /acts/js/smoothcroll.js HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/acts/admin_page.html"
2017/06/14 13:46:18 [error] 4188#7820: *36 CreateFile() "C:/Users/pp/Desktop/nginx/acts_project/html/acts/js/smoothcroll.js" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /acts/js/smoothcroll.js HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/acts/admin_page.html"
2017/06/14 13:46:18 [error] 4188#7820: *36 CreateFile() "C:/Users/pp/Desktop/nginx/acts_project/html/acts/css/fonts/CronusItalic.otf" failed (3: The system cannot find the path specified), client: 127.0.0.1, server: localhost, request: "GET /acts/css/fonts/CronusItalic.otf HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/acts/css/users.css"
2017/06/14 13:46:19 [error] 4188#7820: *36 CreateFile() "C:/Users/pp/Desktop/nginx/acts_project/html/acts/js/smoothcroll.js" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /acts/js/smoothcroll.js HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/acts/admin_page.html"
2017/06/14 13:46:19 [error] 4188#7820: *36 CreateFile() "C:/Users/pp/Desktop/nginx/acts_project/html/acts/js/smoothcroll.js" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /acts/js/smoothcroll.js HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/acts/admin_page.html"
2017/06/14 13:46:19 [error] 4188#7820: *36 CreateFile() "C:/Users/pp/Desktop/nginx/acts_project/html/acts/css/fonts/CronusItalic.otf" failed (3: The system cannot find the path specified), client: 127.0.0.1, server: localhost, request: "GET /acts/css/fonts/CronusItalic.otf HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/acts/css/users.css"
2017/06/14 13:46:20 [error] 4188#7820: *36 CreateFile() "C:/Users/pp/Desktop/nginx/acts_project/html/acts/js/smoothcroll.js" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /acts/js/smoothcroll.js HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/acts/admin_page.html"
2017/06/14 13:46:20 [error] 4188#7820: *36 CreateFile() "C:/Users/pp/Desktop/nginx/acts_project/html/acts/js/smoothcroll.js" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /acts/js/smoothcroll.js HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/acts/admin_page.html"
2017/06/14 13:46:20 [error] 4188#7820: *36 CreateFile() "C:/Users/pp/Desktop/nginx/acts_project/html/acts/css/fonts/CronusItalic.otf" failed (3: The system cannot find the path specified), client: 127.0.0.1, server: localhost, request: "GET /acts/css/fonts/CronusItalic.otf HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/acts/css/users.css"
2017/06/14 13:46:20 [error] 4188#7820: *36 CreateFile() "C:/Users/pp/Desktop/nginx/acts_project/html/acts/js/smoothcroll.js" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /acts/js/smoothcroll.js HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/acts/admin_page.html"
2017/06/14 13:46:20 [error] 4188#7820: *36 CreateFile() "C:/Users/pp/Desktop/nginx/acts_project/html/acts/js/smoothcroll.js" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /acts/js/smoothcroll.js HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/acts/admin_page.html"
2017/06/14 13:46:20 [error] 4188#7820: *36 CreateFile() "C:/Users/pp/Desktop/nginx/acts_project/html/acts/css/fonts/CronusItalic.otf" failed (3: The system cannot find the path specified), client: 127.0.0.1, server: localhost, request: "GET /acts/css/fonts/CronusItalic.otf HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/acts/css/users.css"
2017/06/14 13:46:22 [error] 4188#7820: *36 CreateFile() "C:/Users/pp/Desktop/nginx/acts_project/html/acts/js/smoothcroll.js" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /acts/js/smoothcroll.js HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/acts/admin_page.html"
2017/06/14 13:46:22 [error] 4188#7820: *36 CreateFile() "C:/Users/pp/Desktop/nginx/acts_project/html/acts/js/smoothcroll.js" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /acts/js/smoothcroll.js HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/acts/admin_page.html"
2017/06/14 13:46:22 [error] 4188#7820: *36 CreateFile() "C:/Users/pp/Desktop/nginx/acts_project/html/acts/css/fonts/CronusItalic.otf" failed (3: The system cannot find the path specified), client: 127.0.0.1, server: localhost, request: "GET /acts/css/fonts/CronusItalic.otf HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/acts/css/users.css"
2017/06/14 13:46:23 [error] 4188#7820: *36 CreateFile() "C:/Users/pp/Desktop/nginx/acts_project/html/acts/js/smoothcroll.js" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /acts/js/smoothcroll.js HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/acts/admin_page.html"
2017/06/14 13:46:23 [error] 4188#7820: *36 CreateFile() "C:/Users/pp/Desktop/nginx/acts_project/html/acts/js/smoothcroll.js" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /acts/js/smoothcroll.js HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/acts/admin_page.html"
2017/06/14 13:46:23 [error] 4188#7820: *36 CreateFile() "C:/Users/pp/Desktop/nginx/acts_project/html/acts/css/fonts/CronusItalic.otf" failed (3: The system cannot find the path specified), client: 127.0.0.1, server: localhost, request: "GET /acts/css/fonts/CronusItalic.otf HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/acts/css/users.css"
2017/06/14 13:46:33 [error] 4188#7820: *41 CreateFile() "C:/Users/pp/Desktop/nginx/acts_project/html/acts/js/smoothcroll.js" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /acts/js/smoothcroll.js HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/acts/admin_page.html"
